codigo,nombre,poblacion
30502,La Suiza,7590
30503,Peralta,511
30504,Santa Cruz,3208
30505,Santa Teresita,4744
30506,Pavones,4331
30507,Tuis,2837
30508,Tayutic,2374
30509,Santa Rosa,5232
30510,Tres Equis,1808
30511,La Isabel,6116
30512,Chirripó,4185
30601,Pacayas,5628
30602,Cervantes,6230
30603,Capellades,2454
30701,San Rafael,27248
30702,Cot,9630
30703,Potrero Cerrado,2281
30704,Cipreses,3700
30705,Santa Rosa,2614
30801,El Tejar,24984
30802,San Isidro,9828
30803,Tobosi,6569
30804,Patio de Agua,412
40101,Heredia,18697
40102,Mercedes,25744
40103,San Francisco,49209
40104,Ulloa,29266
40105,Varablanca,700
40201,Barva,4997
40202,San Pedro,9932
40203,San Pablo,8319
40204,San Roque,4622
40205,Santa Lucía,7413
40206,San José de la Montaña,5377
40301,Santo Domingo,4730
40302,San Vicente,6427
40303,San Miguel,6363
40304,Paracito,2231
40305,Santo Tomás,6267
40306,Santa Rosa,7269
40307,Tures,3452
40308,Pará,3333
40401,Santa Bárbara,5944
40402,San Pedro,5582
40403,San Juan,7662
40404,Jesús,9603
40405,Santo Domingo,2879
40406,Purabá,4573
40501,San Rafael,9668
40502,San Josecito,11579
40503,Santiago,8409
40504,Ángeles,10232
40505,Concepción,6077
40601,San Isidro,6113
40602,San José,7447
40603,Concepción,2635
40604,San Francisco,4438
40701,San Antonio,9942
40702,La Ribera,6040
40703,La Asunción,5651
40801,San Joaquín,7173
40802,Barrantes,4091
40803,Llorente,8773
40901,San Pablo,19412
40902,Rincón Sabanilla,8259
41001,Puerto Viejo,20184
41002,La Virgen,10521
41003,Las Horquetas,24331
41004,Llanuras del Gaspar,1160
41005,Cureña,951
50101,Liberia,53382
50102,Cañas Dulces,3230
50103,Mayorga,1599
50104,Nacascolo,2249
50105,Curubandé,2527
50201,Nicoya,24833
50202,Mansión,5717
50203,San Antonio,6642
50204,Quebrada Honda,2523
50205,Sámara,3512
50206,Nosara,4912
50207,Belén de Nosarita,2686
50301,Santa Cruz,21544
50302,Bolsón,1627
50303,Veintisiete de Abril,7048
50304,Tempate,5630
50305,Cartagena,3824
50306,Cuajiniquil,1789
50307,Diriá,3905
50308,Cabo Velas,3362
50309,Tamarindo,6375
50401,Bagaces,12367
50402,La Fortuna,2756
50403,Mogote,3398
50404,Río Naranjo,1015
50501,Filadelfia,7953
50502,Palmira,5416
50503,Sardinal,14912
50504,Belén,8841
50601,Cañas,20816
50602,Palmira,988
50603,San Miguel,1644
50604,Bebedero,2084
50605,Porozal,669
50701,Las Juntas,9482
50702,Sierra,2351
50703,San Juan,1585
50704,Colorado,4621
50801,Tilarán,8677
50802,Quebrada Grande,2700
50803,Tronadora,1795
50804,Santa Rosa,1945
50805,Líbano,865
50806,Tierras Morenas,1358
50807,Arenal,2300
50901,Carmona,2486
50902,Santa Rita,1446
50903,Zapotal,1215
50904,San Pablo,2207
50905,Porvenir,741
50906,Bejuco,3026
51001,La Cruz,9195
51002,Santa Cecilia,6258
51003,La Garita,1688
51004,Santa Elena,2040
51101,Hojancha,4245
51102,Monte Romo,671
51103,Puente Carrillo,1574
51104,Huacas,707
60101,Puntarenas,8335
60102,Pitahaya,2211
60103,Chomes,5522
60104,Lepanto,9502
60105,Paquera,6686
60106,Manzanillo,2811
60107,Guacimal,923
60108,Barranca,30650
60109,Monte Verde,4155
60110,Isla del Coco,0
60111,Cóbano,7494
60112,Chacarita,17434
60113,Chira,1576
60114,Acapulco,1296
60115,El Roble,15759
60116,Arancibia,665
60201,Espíritu Santo,15686
60202,San Juan Grande,6171
60203,Macacona,4742
60204,San Rafael,1294
60205,San Jerónimo,751
60301,Buenos Aires,21063
60302,Volcán,3815
60303,Potrero Grande,5956
60304,Boruca,3074
60305,Pilas,1659
60306,Colinas,1371
60307,Chánguena,2631
60308,Biolley,2455
60309,Brunka,3220
60401,Miramar,8298
60402,La Unión,1249
60403,San Isidro,3403
60501,Puerto Cortés,7969
60502,Palmar,9815
60503,Sierpe,4205
60504,Bahía Ballena,3306
60505,Piedras Blancas,4138
60601,Quepos,19858
60602,Savegre,3326
60603,Naranjito,3677
60701,Golfito,11284
60702,Puerto Jiménez,8789
60703,Guaycará,12918
60704,Pavón,6159
60801,San Vito,14834
60802,Sabalito,10984
60803,Aguabuena,6286
60804,Limoncito,3591
60805,Pittier,2758
60901,Parrita,16115
61001,Corredor,17250
61002,La Cuesta,3906
61003,Canoas,11527
61004,Laurel,9148
61101,Jacó,11685
61102,Tárcoles,5544
70101,Limón,61072
70102,Valle La Estrella,17908
70103,Río Blanco,8307
70104,Matama,7128
70201,Guápiles,36469
70202,Jiménez,10501
70203,Rita,24041
70204,Roxana,16790
70205,Cariari,34176
70206,Colorado,3985
70301,Siquirres,31637
70302,Pacuarito,8756
70303,Florida,2184
70304,Germania,2471
