Código,Región,Consumo promedio mensual m3,Consumo diario en litros
20608,Región Central,5.45,181.666666667
20701,Región Central,5.45,181.666666667
20702,Región Central,5.45,181.666666667
20703,Región Central,5.45,181.666666667
20704,Región Central,5.45,181.666666667
20705,Región Central,5.45,181.666666667
20706,Región Central,5.45,181.666666667
20707,Región Central,5.45,181.666666667
20801,Región Central,5.45,181.666666667
20802,Región Central,5.45,181.666666667
20803,Región Central,5.45,181.666666667
20804,Región Central,5.45,181.666666667
20805,Región Central,5.45,181.666666667
20901,Región Pacífico Central,5.56,185.333333333
20902,Región Pacífico Central,5.56,185.333333333
20903,Región Pacífico Central,5.56,185.333333333
20904,Región Pacífico Central,5.56,185.333333333
20905,Región Pacífico Central,5.56,185.333333333
21001,Región Huetar Norte,5.14,171.333333333
21002,Región Huetar Norte,5.14,171.333333333
21003,Región Huetar Norte,5.14,171.333333333
21004,Región Huetar Norte,5.14,171.333333333
21005,Región Huetar Norte,5.14,171.333333333
21006,Región Huetar Norte,5.14,171.333333333
21007,Región Huetar Norte,5.14,171.333333333
21008,Región Huetar Norte,5.14,171.333333333
21009,Región Huetar Norte,5.14,171.333333333
21010,Región Huetar Norte,5.14,171.333333333
21011,Región Huetar Norte,5.14,171.333333333
21012,Región Huetar Norte,5.14,171.333333333
21013,Región Huetar Norte,5.14,171.333333333
21101,Región Central,5.45,181.666666667
21102,Región Central,5.45,181.666666667
21103,Región Central,5.45,181.666666667
21104,Región Central,5.45,181.666666667
21105,Región Central,5.45,181.666666667
21106,Región Central,5.45,181.666666667
21107,Región Central,5.45,181.666666667
21201,Región Central,5.45,181.666666667
21202,Región Central,5.45,181.666666667
21203,Región Central,5.45,181.666666667
21204,Región Central,5.45,181.666666667
21205,Región Central,5.45,181.666666667
21301,Región Chorotega,5.62,187.333333333
21302,Región Chorotega,5.62,187.333333333
21303,Región Chorotega,5.62,187.333333333
21304,Región Chorotega,5.62,187.333333333
21305,Región Chorotega,5.62,187.333333333
21306,Región Chorotega,5.62,187.333333333
21307,Región Chorotega,5.62,187.333333333
21401,Región Huetar Norte,5.14,171.333333333
21402,Región Huetar Norte,5.14,171.333333333
21403,Región Huetar Norte,5.14,171.333333333
21404,Región Huetar Norte,5.14,171.333333333
21501,Región Huetar Norte,5.14,171.333333333
21502,Región Huetar Norte,5.14,171.333333333
21503,Región Huetar Norte,5.14,171.333333333
21504,Región Huetar Norte,5.14,171.333333333
30101,Región Central,5.45,181.666666667
30102,Región Central,5.45,181.666666667
30103,Región Central,5.45,181.666666667
30104,Región Central,5.45,181.666666667
30105,Región Central,5.45,181.666666667
30106,Región Central,5.45,181.666666667
30107,Región Central,5.45,181.666666667
30108,Región Central,5.45,181.666666667
30109,Región Central,5.45,181.666666667
30110,Región Central,5.45,181.666666667
30111,Región Central,5.45,181.666666667
30201,Región Central,5.45,181.666666667
30202,Región Central,5.45,181.666666667
30203,Región Central,5.45,181.666666667
30204,Región Central,5.45,181.666666667
30205,Región Central,5.45,181.666666667
30301,Región Central,5.45,181.666666667
30302,Región Central,5.45,181.666666667
30303,Región Central,5.45,181.666666667
30304,Región Central,5.45,181.666666667
30305,Región Central,5.45,181.666666667
30306,Región Central,5.45,181.666666667
30307,Región Central,5.45,181.666666667
30308,Región Central,5.45,181.666666667
30401,Región Central,5.45,181.666666667
30402,Región Central,5.45,181.666666667
30403,Región Central,5.45,181.666666667
30501,Región Central,5.45,181.666666667
30502,Región Central,5.45,181.666666667
30503,Región Central,5.45,181.666666667
30504,Región Central,5.45,181.666666667
30505,Región Central,5.45,181.666666667
30506,Región Central,5.45,181.666666667
30507,Región Central,5.45,181.666666667
30508,Región Central,5.45,181.666666667
30509,Región Central,5.45,181.666666667
30510,Región Central,5.45,181.666666667
30511,Región Central,5.45,181.666666667
30512,Región Central,5.45,181.666666667
30601,Región Central,5.45,181.666666667
30602,Región Central,5.45,181.666666667
30603,Región Central,5.45,181.666666667
30701,Región Central,5.45,181.666666667
30702,Región Central,5.45,181.666666667
30703,Región Central,5.45,181.666666667
30704,Región Central,5.45,181.666666667
30705,Región Central,5.45,181.666666667
30801,Región Central,5.45,181.666666667
30802,Región Central,5.45,181.666666667
30803,Región Central,5.45,181.666666667
