codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
20211,Concepción,2348,2,202,2.6,1,0,1.6,0,0,2,Región Central,5.45,181.666666667
30601,Pacayas,5628,,,,,,,,,,Región Central,5.45,181.666666667
30602,Cervantes,6230,3,306,9.50,9.50,0,0,0,0,2,Región Central,5.45,181.666666667
30603,Capellades,2454,,,,,,,,,,Región Central,5.45,181.666666667
10703,Tabarcia,4703,1,107,2.00,2.00,0,0,0,0,2,Región Central,5.45,181.666666667
10702,Guayabo,4449,1,107,0.50,0.50,0,0,0,0,3,Región Central,5.45,181.666666667
10701,Colón,16088,1,107,182.56,139.77,25.59,11.45,4.50,1.25,136,Región Central,5.45,181.666666667
10705,Picagres,675,1,107,7.42,3.42,2.00,2.00,0,0,4,Región Central,5.45,181.666666667
10704,Piedras Negras,379,1,107,4.12,1.62,0,0,2.5,0,4,Región Central,5.45,181.666666667
21202,Sarchí Sur,5143,2,212,6.00,5.00,1.00,0,0,0,4,Región Central,5.45,181.666666667
21203,Toro Amarillo,273,,,,,,,,,,Región Central,5.45,181.666666667
21201,Sarchí Norte,7140,2,212,13.55,5.05,6.50,2.00,0,0,4,Región Central,5.45,181.666666667
21204,San Pedro,3408,2,212,4.50,4.50,0,0,0,0,3,Región Central,5.45,181.666666667
21205,Rodríguez,2121,2,212,5.89,0,5.89,0,0,0,2,Región Central,5.45,181.666666667
11003,San Antonio,4739,1,110,10.62,5.70,4.92,0,0,0,10,Región Central,5.45,181.666666667
11002,San Josecito,10506,,,,,,,,,,Región Central,5.45,181.666666667
11001,Alajuelita,11988,1,110,2.00,2.00,0,0,0,0,1,Región Central,5.45,181.666666667
11005,San Felipe,31649,1,110,1.55,1.55,0,0,0,0,4,Región Central,5.45,181.666666667
11004,Concepción,18721,1,110,0.50,0.50,0,0,0,0,1,Región Central,5.45,181.666666667
60602,Savegre,3326,6,606,86.76,43.26,17.25,4.60,21.65,0,49,Región Pacífico Central,5.56,185.333333333
50901,Carmona,2486,5,509,64.38,50.88,13.00,0,0,0.50,18,Región Chorotega,5.62,187.333333333
50903,Zapotal,1215,5,509,33.86,19.93,6.53,0,4.50,2.90,29,Región Chorotega,5.62,187.333333333
50902,Santa Rita,1446,5,509,163.76,22.01,119.75,0,0,22.00,46,Región Chorotega,5.62,187.333333333
50905,Porvenir,741,5,509,0.05,0.05,0,0,0,0,1,Región Chorotega,5.62,187.333333333
50904,San Pablo,2207,5,509,437.48,123.68,306.00,7.80,0,0,65,Región Chorotega,5.62,187.333333333
50906,Bejuco,3026,5,509,221.79,123.54,68.75,2.00,25.60,0.90,154,Región Chorotega,5.62,187.333333333
