codigo,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos
20205,2,202,21.76,5.16,6.00,8.60,2,0,13
20204,2,202,71.25,19.15,23.70,3.90,0,24.50,21
20207,2,202,52.25,19.00,10.20,23.05,0,0,18
40103,4,401,145.49,115.49,10.00,20.00,0,0,27
20201,2,202,1.80,0,0,1.00,0,0.80,2
20203,2,202,20.45,10.60,5.50,4.30,0,0.05,10
20202,2,202,47.17,13.45,17.50,11.72,2.5,2.00,34
11102,1,111,8.36,7.86,0.50,0,0,0,5
11103,1,111,25.19,25.19,0,0,0,0,8
11101,1,111,26.16,20.85,0,5.31,0,0,19
20209,2,202,52.14,34.48,11.60,1.50,0,4.56,21
20208,2,202,27.03,14.00,8.00,2.90,2.13,0,20
11104,1,111,4.75,2.35,0,2.40,0,0,5
11105,1,111,12.12,12.12,0,0,0,0,5
11903,1,119,48.86,31.98,4.13,12.75,0,0,14
10602,1,106,1.50,0.50,1.00,0,0,0,2
10603,1,106,3.60,1.10,2.50,0,0,0,3
10601,1,106,5.80,4.00,0,1.60,0,0.00,11
11601,1,116,17.70,9.45,7.50,0.75,0,0,13
10607,1,106,5.08,3.22,0.60,0,0,1.26,5
11603,1,116,13.85,6.10,3.75,0,4,0,13
11602,1,116,8.75,5.55,3.20,0,0,0,6
50801,5,508,19.78,16.50,2.20,1.00,0.08,0,11
50802,5,508,3.00,3.00,0,0,0,0,2
50803,5,508,0.68,0.50,0,0,0,0.18,2
50804,5,508,36.00,23.70,12,0.30,0,0,19
50805,5,508,0.50,0.50,0,0,0,0,1
50806,5,508,18.50,12.00,5.50,1.00,0,0,7
50807,5,508,3.00,1.00,2.00,0,0,0,2
20108,2,201,588.22,366.25,58.79,123.60,34.58,5.00,169
20109,2,201,264.02,230.44,5.60,23.22,3.50,1.26,62
20106,2,201,80.59,27.32,31.35,21.92,0,0,37
20107,2,201,35.37,3.50,19.05,9.82,0,3.00,15
20104,2,201,162.87,61.04,17.11,79.72,3.00,2.00,68
20105,2,201,499.87,253.06,146.48,78.85,4.80,16.68,275
20102,2,201,422.23,246.78,25.05,136.65,3.00,10.75,164
20103,2,201,21.87,1.00,15.61,5.26,0,0,9
20101,2,201,201.58,137.36,15.92,46.30,2.00,0,92
50504,5,505,779.54,221.25,500.03,18.76,0,39.50,182
50501,5,505,1877.79,176.50,1552.70,66.84,0,36.75,156
50503,5,505,2037.40,702.70,1070.16,75.56,150.08,38.90,505
50502,5,505,791.87,290.71,400.05,19.81,73.00,8.30,118
70402,7,704,173.04,127.38,3.75,29.50,1.00,0,46
70403,7,704,179.75,155.64,0,12.61,11.50,0,41
70401,7,704,52.50,46.50,0,6.00,0,0,7
20403,2,204,90.09,63.14,23.55,3.40,0,0,47
20402,2,204,16.45,8.00,5.75,0,2.00,0.70,12
20401,2,204,55.69,29.99,5.70,12.00,8,0,31
40901,4,409,105.20,73.65,0,31.55,0,0,19
11504,1,115,33.40,11.50,8.95,12.95,0,0,11
11502,1,115,17.00,15.50,1.50,0,0,0,3
11503,1,115,61.24,41.44,0,19.80,0,0,30
11501,1,115,130.96,107.77,2.10,21.09,0,0,89
50604,5,506,41.70,39.90,0,1.80,0,0,12
50605,5,506,61.862,54.70,1.00,6.162,0,0,24
50602,5,506,5.60,3.60,0,0,2.00,0.00,5
50603,5,506,37.81,19.75,9.35,8.71,0,0,21
50601,5,506,240.52,155.07,30.09,53.36,2,0,107
30201,3,302,161.85,48.32,56.12,42.71,12,2.70,54
50309,5,503,428.92,196.33,165.95,1.89,62.75,2.00,121
50308,5,503,440.82,229.28,72.22,12.60,120.72,6.00,191
50303,5,503,342.09,215.74,82.50,0.50,37.35,6.00,218
50302,5,503,153.73,40.23,89.50,0,0,24.00,28
50301,5,503,511.98,319.53,120.39,21.21,7.50,43.35,241
50307,5,503,292.82,109.51,137.44,22.30,0,23.57,52
50306,5,503,201.35,92.54,70.56,1.90,36.35,0.00,108
50305,5,503,167.17,86.49,30.68,0,47.00,3.00,54
50304,5,503,336.46,146.70,85.38,1.50,94.88,8.00,131
30203,3,302,15.50,9.50,1.00,4.00,0,1.00,4
40405,4,404,14.50,3.50,11.00,0,0,0,8
40404,4,404,82.66,22.89,35.64,17.83,0,6.30,34
40406,4,404,11.23,7.23,1.50,0,0,2.00,9
40401,4,404,20.50,1.50,15.00,4.00,0,0,8
40403,4,404,71.14,42.24,22.80,6.10,0,0,33
40402,4,404,42.12,17.80,11.52,12.80,0,0,17
70103,7,701,531.91,454.93,23.30,50.18,0,3.5,76
70102,7,701,48.94,12.89,1.30,33.75,0,1,18
70101,7,701,105.37,60.40,1.80,42.67,0,0.5,63
70104,7,701,188.38,98.95,17.80,66.38,5.25,0,44
